,level_0,index,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,y
0,1406,7099,170000,1,2,2,41,0,0,0,0,0,0,162500,122372,66038,67934,69834,71668,4781,3000,3000,3000,3000,3000,0
1,1581,7936,170000,2,1,2,29,-2,-2,-2,-1,0,0,0,0,0,10232,9677,0,0,0,10232,194,0,0,0
2,544,2710,320000,2,2,2,36,0,0,0,0,0,0,262613,164486,169691,188527,145676,135254,10043,15005,21640,5004,11628,20020,0
3,1980,9987,10000,1,1,2,27,0,0,0,0,0,-1,6599,7736,8492,8138,4990,1598,1400,1000,1009,1000,1598,0,0
4,3808,19089,260000,2,1,2,31,0,0,0,0,0,0,229398,202429,206210,208752,209083,208463,8720,9000,8910,7570,7751,8200,0
5,1462,7304,180000,2,2,1,37,0,0,0,0,0,0,78089,75159,76602,76896,78588,77770,3333,3310,2900,3040,3500,2300,0
6,5350,26752,120000,1,1,2,28,0,0,0,0,0,0,59688,57627,58417,49050,49722,48898,3000,3000,2000,2000,2000,3000,0
7,5370,26840,70000,1,1,2,38,2,-1,-1,-1,-1,-1,2700,2108,2253,17743,8210,0,2108,2253,17804,8210,0,0,0
8,5061,25295,60000,2,2,2,24,0,0,0,0,0,0,50840,49592,44412,45402,35704,36524,2100,1847,1837,1139,1254,1387,0
9,2434,12223,70000,2,3,2,43,0,0,0,0,0,0,72770,69438,69776,51450,26516,27044,4108,2500,928,2000,969,1002,1
10,4780,23946,100000,1,3,2,25,0,0,0,0,0,0,76068,69334,54883,55383,36095,31322,2895,2088,1511,1124,1053,1009,0
11,3602,18045,30000,1,1,1,33,0,0,0,0,0,0,28700,28639,30171,29322,28572,0,1800,2300,1508,1000,0,0,0
12,2776,13814,360000,1,2,1,37,-2,-1,-1,0,0,-2,-5,3584,2280,2280,0,0,3589,2280,0,0,0,0,0
13,771,3812,300000,2,1,1,33,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,404,1945,10000,2,1,2,27,-1,-1,-2,-2,-2,-2,499,0,0,0,0,0,0,0,0,0,0,0,1
15,4163,20826,180000,1,1,2,31,0,0,0,0,0,0,17426,29047,30572,38043,39441,42652,12000,2000,8043,2000,4000,12500,0
16,4706,23583,240000,2,2,1,38,0,0,0,0,0,0,197231,185901,189190,193018,188593,179309,6702,7000,7000,6500,6600,6230,0
17,3728,18673,50000,2,2,2,22,0,0,0,0,0,0,28544,28681,23306,16282,9451,9408,1450,1400,1300,400,400,400,0
18,3655,18298,200000,2,1,2,31,1,-2,-2,-1,-1,-1,3028,1431,1818,4192,6066,1616,1473,1818,4192,6066,1616,2512,0
19,4406,21944,120000,2,2,2,27,1,-2,-1,-1,-2,-2,0,0,2382,0,0,0,0,2382,0,0,0,0,1
20,5113,25530,130000,2,2,1,34,2,2,2,2,2,2,28967,30776,33071,32336,34186,34588,2500,3000,0,2600,1000,1500,1
21,242,1151,280000,1,1,2,30,1,2,2,0,0,0,191493,187913,169223,153063,133490,130377,1000,7600,5949,6000,5200,5117,0
22,2837,14129,180000,2,1,2,26,-2,-2,-2,-2,-2,-2,4312,2117,5944,2102,10214,0,2117,5944,2102,10214,0,0,0
23,3258,16327,180000,2,1,1,49,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5971,29842,490000,1,1,1,49,-1,-1,-1,-1,-1,-1,19107,10190,10149,76760,8879,16705,10238,10191,77163,8921,16786,27662,0
25,5246,26267,500000,2,2,1,46,0,0,-1,-1,0,0,16400,886,21803,90182,79310,68380,886,21831,90182,2500,2380,2772,0
26,3129,15683,20000,1,3,2,28,1,2,0,0,0,2,18953,14043,13266,14340,15301,14916,18,1600,1600,1500,0,1000,0
27,1933,9738,630000,1,1,2,32,-2,-2,-2,-2,-2,-2,2731,3817,4679,5679,6679,6850,1138,1000,1000,1000,171,73415,0
28,383,1859,50000,1,1,1,39,0,0,2,3,2,2,33849,36798,37890,37131,38381,39585,3817,2000,150,2000,2000,1600,0
29,1365,6919,160000,2,3,1,28,0,0,0,0,0,0,38660,38942,39787,40069,37647,38268,2500,1877,2000,3000,1400,5000,0
30,1761,8844,300000,2,2,1,66,1,-1,2,-1,0,0,0,200,200,22935,16858,0,200,0,22935,0,0,0,0
31,2515,12602,70000,2,2,2,23,0,0,0,0,0,0,54428,25085,25282,21858,19171,8443,2002,1819,509,539,2000,1000,0
32,1853,9354,50000,1,3,2,43,0,0,0,0,-1,0,97348,49221,29457,9279,888,19947,3711,1060,212,888,19709,690,0
33,5721,28656,180000,2,2,2,38,0,0,0,0,0,0,179307,183613,182709,149997,142612,140493,7294,6792,5490,5156,5232,6288,0
34,5294,26454,120000,2,2,1,50,2,0,0,0,2,2,81979,82726,85390,91549,92754,94722,3000,4000,7600,3600,3600,3600,1
35,3242,16250,50000,2,2,1,24,0,0,2,0,0,2,46108,49330,48263,49780,56396,55479,4000,0,2384,8000,0,1852,0
36,4234,21117,360000,1,1,1,44,-2,-2,-2,-2,-2,-2,188,1610,1088,7870,5988,342,1610,1088,7870,5988,342,7159,1
37,4287,21373,500000,1,2,1,54,0,0,0,0,0,0,108075,106532,102315,90435,91924,81378,5014,4500,4000,4052,3007,4013,0
38,3720,18619,150000,2,2,2,26,0,0,0,0,0,0,153070,149027,151632,151855,150713,148958,6000,6000,7000,5480,5400,5300,0
39,3910,19523,120000,2,1,2,26,0,0,0,0,0,0,43629,56933,54724,32400,9207,5828,25000,45000,5151,2000,5000,9115,0
40,490,2417,30000,2,3,2,24,2,0,0,2,2,0,30279,30428,30485,31012,30402,30195,1500,2700,1300,0,1117,1353,1
41,1208,5990,220000,1,1,1,45,1,2,0,0,0,0,157122,153320,156996,158717,162122,165399,0,7600,5700,6000,6000,12300,0
42,2235,11241,50000,2,2,1,34,0,0,0,0,0,0,40798,38937,34737,18702,15604,16333,2000,2000,1000,578,1000,1000,0
43,3922,19577,80000,2,2,1,45,1,2,2,2,2,2,53916,52462,55327,56804,57469,58505,0,4327,3000,2200,2100,0,1
44,5223,26117,100000,2,2,1,30,-1,0,0,0,-1,-1,100037,101163,102712,99925,836,79013,3607,4001,2449,2836,79263,2442,0
45,4325,21526,200000,2,1,2,26,0,0,0,0,0,0,134780,138349,141821,145144,148268,151604,6000,6000,6000,6000,6000,6200,0
46,84,451,600000,1,1,1,53,2,2,0,0,0,0,467150,458862,469703,447130,440982,434715,0,18000,16000,16000,21000,20000,1
47,4191,20928,360000,1,1,2,33,-2,-2,-2,-2,-2,-2,780,286,0,0,390,-200,286,0,0,390,0,0,0
48,1961,9884,210000,2,1,2,26,-1,-1,-1,-2,-1,-1,231,1608,0,0,312,0,1624,0,0,312,0,0,0
49,5557,27892,100000,2,1,2,27,0,0,0,0,0,0,43599,45865,54424,56032,59475,47491,3000,10000,2647,5000,2000,4000,0
50,5149,25723,170000,2,1,2,38,-1,-1,-1,-1,-2,-2,822,-3,1243,0,0,0,0,1246,0,0,0,0,0
51,2165,10861,110000,2,2,2,29,2,2,4,4,3,2,600,600,600,600,300,150,0,0,0,0,0,921,1
52,1572,7892,50000,2,2,2,23,0,0,0,0,0,0,30941,30730,29908,28809,27905,13835,1751,1402,776,773,522,430,0
53,5007,25036,420000,1,1,1,53,-1,-1,-1,-1,-1,-1,1936,3473,12230,13682,1695,712,3489,12290,13749,1706,714,584,0
54,4932,24596,60000,1,2,1,45,0,0,0,0,0,0,60035,60776,49802,50965,19275,17976,2380,2262,3000,1500,1000,1500,1
55,2005,10128,130000,2,2,1,37,1,2,2,2,0,0,67612,65997,70604,68904,70369,71682,0,6300,0,2700,2600,2800,1
56,4264,21263,50000,1,3,3,55,0,0,0,0,0,0,23498,22625,20197,19528,19520,17420,1336,1348,1257,639,622,638,0
57,4911,24511,50000,1,2,1,46,-1,0,0,0,-1,0,1853,3656,4400,0,1704,3715,2000,1000,0,1704,2011,0,0
58,2643,13192,120000,2,2,1,39,0,0,0,0,0,0,44630,37772,27827,3228,3294,0,1999,1040,265,66,0,0,0
59,1064,5286,520000,2,1,2,33,0,0,0,0,0,0,485298,499489,413019,168770,168964,191188,22000,18300,26500,30000,27000,25000,1
60,1005,4987,50000,2,2,2,24,0,0,0,0,0,0,26239,17824,17615,17956,18091,18259,1300,5869,1000,795,1000,1000,0
61,1218,6031,330000,2,1,2,33,1,-2,-2,-1,2,2,-200,-200,-200,150,150,350,0,0,350,0,200,0,0
62,2738,13645,230000,1,2,2,32,0,0,0,0,0,0,143345,134344,116691,116220,112746,108653,6000,5000,5000,5000,5000,5038,0
63,5431,27149,100000,1,1,2,30,2,2,2,0,0,2,33217,34372,33543,34260,36580,37347,2000,0,1580,2900,1500,1600,1
64,1691,8492,30000,1,1,2,36,2,0,0,0,0,0,24796,26088,27032,26723,23143,17106,2000,1804,2014,1521,1204,1500,1
65,4516,22614,70000,2,1,2,37,0,0,0,0,0,0,64860,64533,48493,48824,19000,39000,2200,3000,1400,500,20000,0,0
66,1136,5670,340000,2,2,1,40,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
67,5811,29078,100000,2,3,0,56,1,2,0,0,2,2,28625,27969,28812,31134,30444,32460,0,1500,2700,0,2400,0,0
68,4232,21104,270000,1,2,2,45,1,-2,-1,-1,-1,-1,0,0,7304,3076,0,16191,0,7304,3076,0,16191,277,0
69,4657,23297,130000,2,2,1,29,0,0,0,0,0,0,67260,69269,72276,74347,77259,78403,4000,5000,4347,5000,3038,2135,0
70,2710,13518,200000,2,1,2,31,-1,-1,0,0,0,-1,1041,1053,3042,1381,1381,27106,2000,2011,0,0,27106,35200,0
71,1712,8608,30000,1,2,2,32,3,2,2,2,0,0,31895,31091,31002,29879,29382,23110,0,2300,0,996,1000,0,0
72,882,4320,420000,2,1,2,34,-1,-1,-1,-1,-1,-1,13207,6184,6692,1039,1039,1503,6222,9723,1045,1042,1509,9215,1
73,249,1193,200000,1,1,1,37,0,0,0,0,0,0,123337,11148,19165,21171,17762,23670,11202,19275,22304,23850,23784,84430,0
74,5806,29062,450000,2,1,1,54,-2,-2,-2,-2,-2,-2,2500,0,0,0,0,0,0,0,0,0,0,0,0
75,815,4002,200000,1,1,1,35,0,0,0,0,0,0,199891,198608,115177,116226,139737,187728,8500,6000,4000,25000,50000,70000,1
76,1176,5841,370000,1,1,2,30,0,-1,-1,0,0,0,6592,3563,184429,180508,178220,72656,4000,192718,5000,5000,3000,2000,0
77,5159,25790,50000,2,2,2,38,-1,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,390,390,390,0
78,5807,29063,330000,2,3,1,53,0,0,0,0,0,0,287021,191065,290451,192123,196860,-3140,6802,102428,4100,4937,3140,184036,0
79,5157,25768,240000,2,1,1,41,0,0,0,2,3,3,102488,105785,109082,119221,118144,118029,6500,6500,13500,2300,2002,0,0
80,2734,13632,200000,2,2,1,29,0,0,0,0,0,0,81568,81876,82617,83284,64520,54178,3500,3000,2500,3000,2000,2000,0
81,5427,27132,230000,1,1,2,45,0,0,0,0,0,0,92129,92690,93596,79320,64268,65193,3510,3998,2431,1697,1971,2046,0
82,4840,24200,110000,1,1,2,30,0,0,0,0,0,0,57040,51123,47251,46630,52889,53907,5000,4000,4000,10000,5000,5000,0
83,884,4327,180000,1,2,1,35,-1,-1,-1,-1,-1,-1,1099,1099,1099,1099,0,1099,1099,1099,1099,0,1099,0,0
84,3688,18432,250000,2,3,1,27,2,3,2,2,0,0,324204,308506,294198,278964,270046,265787,5000,6000,5000,9600,14000,14000,0
85,3653,18277,180000,1,3,1,58,2,2,2,2,2,2,36086,37196,36322,38808,39474,40297,2000,0,3405,1600,1600,1700,1
86,3843,19271,100000,2,2,1,40,0,0,0,0,0,0,89236,90828,83479,73749,68512,72518,3162,3523,3025,2344,5000,3000,0
87,2346,11801,20000,2,2,2,22,0,0,-2,-1,0,0,8392,-100,0,1828,2800,0,0,1000,1828,1500,0,3000,0
88,1811,9094,220000,1,1,2,38,0,0,0,0,0,0,197600,201708,121499,124409,68319,0,8200,5100,5400,3300,0,0,0
89,330,1606,160000,1,1,1,51,2,3,2,0,0,0,79244,77441,75598,82277,84955,87549,0,0,8000,4000,4000,4000,1
90,3121,15640,170000,2,1,2,40,0,0,0,0,0,0,15442,16869,21014,18517,9058,5035,2000,5020,2000,3000,1000,464,0
91,5571,27942,240000,2,1,2,28,0,0,0,0,0,0,30173,29109,16704,13934,2020,4520,5009,4000,3506,0,2500,4000,0
92,2518,12613,470000,1,1,2,27,-1,-1,-1,-1,0,0,4007,3201,14509,21168,14501,8726,3201,14509,21168,0,1528,6970,0
93,403,1944,220000,1,1,2,34,2,2,0,0,0,2,203101,185384,149839,142404,120918,87005,311,38024,8105,10117,37,5264,1
94,3165,15866,240000,2,1,2,29,-1,2,2,-2,-2,-2,3126,3126,626,626,776,783,626,626,626,776,783,1252,0
95,3864,19345,260000,2,2,1,35,-2,-2,-2,-2,-2,-2,3439,10034,256,274,388,766,10127,258,274,388,766,1185,0
96,3351,16773,50000,1,3,1,43,0,0,0,0,0,0,50444,49654,49921,50512,20071,20277,2000,2050,1641,1000,1000,1000,0
97,119,623,360000,2,2,1,37,1,-2,-2,-2,-1,-1,0,0,0,0,166,541,0,0,0,166,543,4268,0
98,406,1951,100000,1,1,1,36,0,0,0,0,0,0,23070,18806,20183,21540,25775,0,1700,2000,2000,5000,0,0,0
99,5573,27955,140000,2,2,1,27,2,-1,-1,-1,0,0,776,752,776,1580,804,728,752,800,1580,0,700,700,0
100,2728,13609,210000,2,2,1,34,0,0,0,0,0,0,128553,109234,87567,83716,69925,64108,3762,3808,4177,2594,2442,2319,0
101,3056,15340,30000,2,2,1,43,-1,-1,0,0,0,0,661,25166,26195,27209,27924,30204,25166,1437,1451,1166,2900,600,0
